Date,Replied To,Thread Title,Post Content
10-03-2016 13:11,huawei.h3c,All About MyRepublic [Eks Innovate] by Sinarmas Group,"saya baru pakai MR 2 minggu lah, udah 4 tahun pakai FM. Dan sekarang status pakai dua2nya. Karena MR masih baru dan sudah bberapa kali saya komplain, sementara saya masih anggap FM lebih OK kualitasnya. Lepas dari harga dan speed ya... murni hanya soal masalah yg ada. Kebetulan utk FM saya VIP c"
10-03-2016 12:35,huawei.h3c,All About MyRepublic [Eks Innovate] by Sinarmas Group,Siang agan2 Mau nanya nih pengguna MR koneksi stabil tidak dan sering gangguan apa ga ? Rencana mau pindah nih dari fm heheh Ada info sales untuk area radio dalam jakarta selatan gan.. pm in dong ... Thanks
01-07-2014 11:58,jakartadogdown,iKaskus - Kaskus � iPhone New Forum Read Page 1 Before You Ask! V.1.2 - Part 4,Gan ane pake i5s SU Kddi kalau sms lebih dari 160karakter kenapa ga bisa kirim sms ya kondisi jb / tdk jb sama saja. Ane pake gsm . Adakah tweak supaya bisa sms lebih dri 160 karakter ? Mohon bantuanya
30-06-2014 08:33,jakartadogdown,iKaskus - Kaskus � iPhone New Forum Read Page 1 Before You Ask! V.1.2 - Part 4,Pagi mau nanya kagi nih semalem dah jb pangu berhasil . Tapi pagi ini tweak2 yang ane instal pada mental pas dibuka kaya airbluesharing activator dll itu kenapa ya suhu ? Thx
29-06-2014 19:37,jakartadogdown,iKaskus - Kaskus � iPhone New Forum Read Page 1 Before You Ask! V.1.2 - Part 4,Mau tanya kegunanan Tweak Activactor apa ya ? dan setingnya gmna ? trus ada ga tweak / app buat download lagu dari safari biar langsung lagunya masuk ke music ?
24-06-2014 09:59,jakartadogdown,iKaskus - Kaskus � iPhone New Forum Read Page 1 Before You Ask! V.1.2 - Part 4,"Gan pasaran iphone 5s SU japan kddi brp ya ane ditawarin 64gb mulus + rsim harga 6,5 kemahalan ga ya ?"
24-06-2014 08:11,jakartadogdown,iKaskus - Kaskus � iPhone New Forum Read Page 1 Before You Ask! V.1.2 - Part 4,"Gan pasaran iphone 5s SU japan kddi brp ya ane ditawarin 64gb mulus + rsim harga 6,5 kemahalan ga ya ?"
24-06-2014 08:10,jakartadogdown,iKaskus - Kaskus � iPhone New Forum Read Page 1 Before You Ask! V.1.2 - Part 3,"Gan pasaran iphone 5s SU japan kddi brp ya ane ditawarin 64gb mulus + rsim harga 6,5 kemahalan ga ya ?"
09-03-2014 21:56,narahackerz,Nokia Akhirnya Mengadopsi Android,"Wih mantep nih nokia android , speknya yg gahar dong :D"
09-03-2014 21:38,dedisetyawan86,10 Tempat Paling Menyeramkan di Jakarta,Lintasan kreta bintaro serem tuh gan
09-03-2014 21:36,KASKUS.Update,Download KASKUS App Sekarang di Windows Phone Agan-Agan!,Tar sya dl deh gan buat wp sya
09-03-2014 20:38,mouse.macro,Kenapa Laki-Laki Cepat Bosan Belanja?,Semuanya pernah saya alami tuh gan :ngakak :capedes
09-03-2014 20:36,uhuy,10 Penemuan Hebat yang kabarnya Hilang,thanks gan nambah pengetahuan
09-03-2014 20:34,jimenisti,bosan dengan jeans agan/sista? coba upgrade dengan beberapa cara ini,"Hasilnya Keren Gan , Tar dicoba deh"
05-11-2013 21:31,bekicotiwakasu,"RekBer Q-BANK - Murah, Aman & Terpercaya [thread lanjutan ke-2]",Transaksi Batal Barang kosong . No rekening di pm ya . thanks
03-11-2013 20:16,bekicotiwakasu,"RekBer Q-BANK - Murah, Aman & Terpercaya [thread lanjutan ke-2]",Cancel :berdukas
03-11-2013 17:49,official.p780,(NEW OFFICIAL LOUNGE) LENOVO P780 - BURNING OUT IS NOT AN OPTION,"di Lazada ni P780 dihargain 2.859.000 gan... :matabelo tapi lagi kosong :sorry tapi mending beli langsung ke toko gan lebih enak , kalo ada masalah langsung bisa tuker hehhe"
03-11-2013 17:42,official.p780,(NEW OFFICIAL LOUNGE) LENOVO P780 - BURNING OUT IS NOT AN OPTION,ada yang tau ga beli flip case ori dimana ? kalo berkenan pm linknya gan :malus
03-11-2013 15:55,official.p780,(NEW OFFICIAL LOUNGE) LENOVO P780 - BURNING OUT IS NOT AN OPTION,"selamat ya gan :shakehand pertama kali cas agak lama, pokoknya tunggu sampai LED mati.. kalibrasi kalo ada masalah aja gan.. oke thanks gan , ane cas dulu dah baru test performa"
03-11-2013 15:33,official.p780,(NEW OFFICIAL LOUNGE) LENOVO P780 - BURNING OUT IS NOT AN OPTION,"Akhirnya dpt juga nih leny :matabelo - 1x buka dus cek ,dead pixel ga ada , tapi ada bercak (hanya keliatan dilayar putih dan posisi hh liat layar dimiringin ):capedes - 2x buka dus 3 titik dead pixel :hammer :ngakak #ane udh pasrah nih . . . eh yang ke 3x Alhamdulillah normal semua :kisss untung"
